rank,player,team,clay_pos_rk,clay_ff_pts,clay_games,clay_rush_att,clay_rush_yds,clay_rush_tds,clay_targets,clay_receptions,clay_rec_yds,clay_rec_tds,clay_carry_share,clay_target_share,mkt_receptions,mkt_rec_yds,mkt_rec_tds,mkt_book,mkt_as_of,adj_targets,adj_receptions,adj_rec_yds,adj_rec_tds,adj_rush_yds,adj_rush_tds,ppr_clay_17g,ppr_clay_propadj,ppr_market,mkt_minus_clay17,mkt_minus_clayadj,ppr_per_game_propadj,proj_source,proj_as_of,propadj_method
44,Austin Hooper,ATL,45.0,43.0,17.0,0.0,0.0,0.0,27.0,21.0,181.0,1.0,0.0,5.0,,,,,,23.8,18.5,159.7,0.9,0.0,0.0,45.1,39.87,,,,2.35,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
45,Noah Fant,NO,43.0,45.0,17.0,0.0,0.0,0.0,27.0,21.0,180.0,1.0,0.0,5.0,,,,,,23.8,18.5,158.8,0.9,0.0,0.0,45.0,39.78,,,,2.34,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
46,Tommy Tremble,CAR,44.0,44.0,17.0,0.0,0.0,0.0,26.0,18.0,176.0,1.0,0.0,5.0,,,,,,22.9,15.9,155.3,0.9,0.0,0.0,41.6,36.83,,,,2.17,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
47,Will Kacmarek,MIA,48.0,40.0,17.0,0.0,0.0,0.0,25.0,18.0,175.0,1.0,0.0,5.0,,,,,,22.1,15.9,154.4,0.9,0.0,0.0,41.5,36.74,,,,2.16,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
48,Erick All,CIN,47.0,40.0,17.0,0.0,0.0,0.0,23.0,17.0,155.0,1.0,0.0,4.0,,,,,,20.3,15.0,136.8,0.9,0.0,0.0,38.5,34.08,,,,2.0,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
49,Josh Oliver,MIN,50.0,38.0,17.0,0.0,0.0,0.0,22.0,17.0,151.0,1.0,0.0,4.0,,,,,,19.4,15.0,133.2,0.9,0.0,0.0,38.1,33.72,,,,1.98,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
50,Drew Sample,CIN,49.0,39.0,17.0,0.0,0.0,0.0,23.0,17.0,146.0,1.0,0.0,4.0,,,,,,20.3,15.0,128.8,0.9,0.0,0.0,37.6,33.28,,,,1.96,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
51,Eli Raridon,NE,52.0,37.0,17.0,0.0,0.0,0.0,21.0,16.0,151.0,1.0,0.0,4.0,,,,,,18.5,14.1,133.2,0.9,0.0,0.0,37.1,32.82,,,,1.93,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
52,Tyler Higbee,LAR,51.0,38.0,17.0,0.0,0.0,0.0,22.0,15.0,154.0,1.0,0.0,4.0,,,,,,19.4,13.2,135.9,0.9,0.0,0.0,36.4,32.19,,,,1.89,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
53,Charlie Kolar,LAC,53.0,36.0,17.0,0.0,0.0,0.0,21.0,15.0,148.0,1.0,0.0,4.0,,,,,,18.5,13.2,130.6,0.9,0.0,0.0,35.8,31.66,,,,1.86,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
54,Cade Stover,HST,54.0,35.0,17.0,4.0,10.0,0.0,22.0,15.0,134.0,1.0,1.0,4.0,,,,,,19.4,13.2,118.2,0.9,8.8,0.0,35.4,31.3,,,,1.84,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
55,John Bates,WAS,55.0,35.0,17.0,0.0,0.0,0.0,21.0,14.0,136.0,1.0,0.0,4.0,,,,,,18.5,12.4,120.0,0.9,0.0,0.0,33.6,29.8,,,,1.75,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
56,Jake Tonges,SF,56.0,33.0,17.0,0.0,0.0,0.0,18.0,13.0,135.0,1.0,0.0,4.0,,,,,,15.9,11.5,119.1,0.9,0.0,0.0,32.5,28.81,,,,1.69,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
57,Tanner Hudson,CIN,57.0,29.0,17.0,0.0,0.0,0.0,17.0,13.0,110.0,1.0,0.0,3.0,,,,,,15.0,11.5,97.1,0.9,0.0,0.0,30.0,26.61,,,,1.57,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
58,Eli Stowers,PHI,58.0,29.0,17.0,5.0,20.0,0.0,15.0,11.0,107.0,1.0,1.0,3.0,,,,,,13.2,9.7,94.4,0.9,17.6,0.0,29.7,26.3,,,,1.55,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
59,Adam Trautman,DEN,59.0,29.0,17.0,0.0,0.0,0.0,17.0,12.0,113.0,1.0,0.0,3.0,,,,,,15.0,10.6,99.7,0.9,0.0,0.0,29.3,25.97,,,,1.53,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
60,Mo Alie-Cox,IND,62.0,27.0,17.0,0.0,0.0,0.0,16.0,11.0,111.0,1.0,0.0,3.0,,,,,,14.1,9.7,97.9,0.9,0.0,0.0,28.1,24.89,,,,1.46,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
61,Luke Schoonmaker,DAL,60.0,28.0,17.0,0.0,0.0,0.0,17.0,11.0,110.0,1.0,0.0,3.0,,,,,,15.0,9.7,97.1,0.9,0.0,0.0,28.0,24.81,,,,1.46,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
62,Jackson Hawes,BUF,61.0,27.0,17.0,0.0,0.0,0.0,15.0,11.0,110.0,1.0,0.0,3.0,,,,,,13.2,9.7,97.1,0.9,0.0,0.0,28.0,24.81,,,,1.46,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
63,Ja'Tavion Sanders,CAR,65.0,25.0,17.0,0.0,0.0,0.0,16.0,12.0,98.0,1.0,0.0,3.0,,,,,,14.1,10.6,86.5,0.9,0.0,0.0,27.8,24.65,,,,1.45,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
